GDS Record Locator,Reservation Date,Car Pick Up Date,Car Drop Off Date,Car Chain Code,Car Chain Name,Car Pick Up City,Car Pick Up State,Car Drop Off City,Car Drop Off State,Car Rental Days,Car Daily Rate,Car Category,Online Indicator
DAGVXF,12/19/11,12/22/11,12/23/11,AL,ALAMO RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,23.00,Compact,Y
DAGVXF,12/23/11,12/22/11,12/23/11,AL,ALAMO RENT A CAR,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,23.00,Compact,N
DAGXJU,3/31/11,4/3/11,4/4/11,ET,ENTERPRISE CARS,Orange County-John Wayne,CA,Orange County-John Wayne,CA,1,26.00,Compact,N
DAGXPZ,9/18/13,9/23/13,9/25/13,ET,ENTERPRISE CARS,Anchorage,AK,Anchorage,AK,2,14.00,Compact,Y
DAICCJ,9/22/11,9/27/11,9/28/11,ZT,THRIFTY RENT A CAR,New Orleans,LA,New Orleans,LA,1,23.00,Compact,Y
DAMJKY,6/8/12,6/12/12,6/14/12,AL,ALAMO RENT A CAR,Minot,ND,Minot,ND,2,36.00,Compact,N
DANPAC,5/13/11,5/18/11,5/20/11,ZR,DOLLAR RENT A CAR,Chicago-Midway,IL,Chicago-Midway,IL,2,34.00,Compact,Y
DANPAC,5/18/11,5/18/11,5/20/11,ZR,DOLLAR RENT A CAR,Chicago-Midway,IL,Chicago-Midway,IL,2,34.00,Compact,Y
DAQPBG,12/13/10,12/14/10,12/15/10,AL,ALAMO RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,1,45.00,Compact,N
DARUYR,8/22/11,8/24/11,8/26/11,ZL,NATIONAL CAR RENTAL,Detroit-Metro,MI,Detroit-Metro,MI,2,34.00,Economy,Y
DAWMEH,11/17/10,11/22/10,11/23/10,AL,ALAMO RENT A CAR,Burbank,CA,Burbank,CA,1,33.26,Economy,N
DAXRNE,4/4/12,4/9/12,4/11/12,ET,ENTERPRISE CARS,Baton Rouge,LA,Baton Rouge,LA,2,66.00,Compact,Y
DAYCPK,2/23/11,2/28/11,3/2/11,ZL,NATIONAL CAR RENTAL,Las Vegas,NV,Las Vegas,NV,2,27.00,Intermediate,Y
DBAEKD,7/11/11,7/14/11,7/15/11,ZL,NATIONAL CAR RENTAL,Albuquerque,NM,Albuquerque,NM,1,49.00,Intermediate,N
DBEPIZ,3/23/11,3/28/11,4/1/11,ZL,NATIONAL CAR RENTAL,Washington DC,DC,Washington DC,DC,4,80.00,Minivan,N
DBFLRX,5/24/12,5/29/12,5/31/12,AL,ALAMO RENT A CAR,Jacksonville,FL,Jacksonville,FL,2,27.00,Compact,N
DBFLRX,5/30/12,5/29/12,5/31/12,AL,ALAMO RENT A CAR,Jacksonville,FL,Jacksonville,FL,2,27.00,Compact,N
DBFRXR,4/13/11,4/17/11,4/22/11,ET,ENTERPRISE CARS,Dallas/Ft Worth,TX,Dallas/Ft Worth,TX,5,25.60,Standard,Y
DBFZXV,7/31/13,8/5/13,8/9/13,ZD,BUDGET RENT A CAR,Los Angeles,CA,Los Angeles,CA,4,34.00,Compact,N
DBGEMO,5/25/11,5/31/11,6/3/11,ZR,DOLLAR RENT A CAR,Phoenix,AZ,Phoenix,AZ,3,21.00,Intermediate,N
DBHFGB,1/31/11,2/3/11,2/4/11,AL,ALAMO RENT A CAR,Juneau,AK,Juneau,AK,1,38.00,Intermediate,N
DBHNUL,11/8/11,11/9/11,11/10/11,ET,ENTERPRISE CARS,New Orleans,LA,New Orleans,LA,1,20.00,Economy,Y
DBKUGP,4/10/13,4/15/13,4/19/13,ET,ENTERPRISE CARS,New Orleans,LA,New Orleans,LA,4,42.75,Economy,Y
DBNSKA,8/24/11,8/28/11,9/1/11,ZT,THRIFTY RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,4,33.25,Compact,N
DBOHWD,3/16/12,3/22/12,3/23/12,ZD,BUDGET RENT A CAR,West Palm Beach,FL,West Palm Beach,FL,1,37.00,Intermediate,N
DBPPRE,4/4/13,4/9/13,4/13/13,ZE,HERTZ RENT A CAR,Newark,NJ,Newark,NJ,4,61.00,Economy,Y
DBQRTT,2/1/12,2/4/12,2/7/12,ZL,NATIONAL CAR RENTAL,Honolulu - Oahu,HI,Honolulu - Oahu,HI,3,32.00,Intermediate,N
DBQZUH,4/26/11,6/13/11,6/14/11,ET,ENTERPRISE CARS,Oakland,CA,Oakland,CA,1,16.00,Full Size,N
DBRDMT,4/27/11,5/2/11,5/6/11,ZR,DOLLAR RENT A CAR,Raleigh/Durham,NC,Raleigh/Durham,NC,4,26.00,Economy,Y
DBRJSH,8/19/11,8/22/11,8/23/11,ZL,NATIONAL CAR RENTAL,El Paso,TX,El Paso,TX,1,67.00,Intermediate,N
DBUQHJ,6/1/11,6/2/11,6/3/11,ZD,BUDGET RENT A CAR,San Diego,CA,San Diego,CA,1,25.00,Full Size,N
DBUUGU,6/20/13,6/25/13,6/27/13,ZT,THRIFTY RENT A CAR,Louisville,KY,Louisville,KY,2,30.00,Economy,Y
DBVDHX,8/8/12,8/13/12,8/15/12,ET,ENTERPRISE CARS,Orlando-Intl,FL,Orlando-Intl,FL,2,20.00,Intermediate,Y
DBVDHX,8/10/12,8/13/12,8/15/12,ET,ENTERPRISE CARS,Orlando-Intl,FL,Orlando-Intl,FL,2,20.00,Intermediate,N
DCATJX,9/7/12,9/10/12,9/11/12,ET,ENTERPRISE CARS,Duluth/Superior,MN,Duluth/Superior,MN,1,38.00,Economy,N
DCAZOZ,9/4/13,9/8/13,9/13/13,ET,ENTERPRISE CARS,St. Louis,MO,St. Louis,MO,5,19.00,Compact,Y
DCBOOB,6/22/11,6/27/11,7/1/11,ZT,THRIFTY RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,4,36.00,Economy,N
DCEOOU,7/15/11,7/20/11,7/22/11,ET,ENTERPRISE CARS,Albany,NY,Albany,NY,2,37.00,Standard,Y
DCGAGX,8/31/11,9/6/11,9/7/11,ZR,DOLLAR RENT A CAR,Memphis,TN,Memphis,TN,1,35.00,Compact,N
DCHFSJ,11/10/11,11/15/11,11/18/11,ZI,AVIS RENT A CAR,Winnipeg,MB,Winnipeg,MB,3,65.76,Compact,N
DCJDNB,4/20/11,4/26/11,4/28/11,ET,ENTERPRISE CARS,Spokane,WA,Spokane,WA,2,27.00,Economy,Y
DCJHZL,2/17/12,2/22/12,2/23/12,ZR,DOLLAR RENT A CAR,San Antonio,TX,San Antonio,TX,1,34.00,Compact,N
DCJLIV,3/24/11,3/29/11,4/1/11,AL,ALAMO RENT A CAR,Denver,CO,Denver,CO,3,26.00,Compact,Y
DCJSKC,5/9/12,5/10/12,5/11/12,ZL,NATIONAL CAR RENTAL,Indianapolis,IN,Indianapolis,IN,1,22.00,Intermediate,N
DCKSJX,4/21/11,4/27/11,4/29/11,ZR,DOLLAR RENT A CAR,Orlando-Intl,FL,Orlando-Intl,FL,2,28.00,Intermediate,N
DCMUDN,5/26/11,6/1/11,6/1/11,AL,ALAMO RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,28.00,Compact,Y
DCPGPQ,8/22/13,8/27/13,8/28/13,ZI,AVIS RENT A CAR,Alexandria,LA,Alexandria,LA,1,38.95,Compact,N
DCRDYR,11/8/12,11/13/12,11/16/12,ET,ENTERPRISE CARS,Chicago-OHare,IL,Chicago-OHare,IL,3,16.00,Compact,Y
DCRGWG,7/14/11,8/23/11,8/25/11,ZL,NATIONAL CAR RENTAL,St. Louis,MO,St. Louis,MO,2,35.00,Compact,N
DCSXRO,1/12/11,1/18/11,1/20/11,ZR,DOLLAR RENT A CAR,Denver,CO,Denver,CO,2,17.00,Economy,Y
DCTGEP,6/25/12,6/27/12,6/27/12,ZD,BUDGET RENT A CAR,Charleston,SC,Charleston,SC,1,20.00,Compact,N
DCTUCV,8/27/13,8/30/13,8/31/13,ET,ENTERPRISE CARS,Santa Ana,CA,Santa Ana,CA,1,15.00,Compact,Y
DCUAIN,11/2/11,11/7/11,11/8/11,ET,ENTERPRISE CARS,Raleigh/Durham,NC,Raleigh/Durham,NC,1,24.00,Compact,N
DCVNTK,8/30/12,9/5/12,9/7/12,ZL,NATIONAL CAR RENTAL,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,2,37.00,Compact,Y
DCVOEU,2/5/13,2/7/13,2/8/13,ZL,NATIONAL CAR RENTAL,Greensboro/H Pt/Win-Salem,NC,Greensboro/H Pt/Win-Salem,NC,1,23.00,Compact,Y
DCYWBP,11/5/10,11/8/10,11/10/10,ET,ENTERPRISE CARS,Albuquerque,NM,Albuquerque,NM,2,23.00,Intermediate,Y
DCZDVL,5/2/11,5/5/11,5/6/11,ZE,HERTZ RENT A CAR,Roanoke,VA,Roanoke,VA,1,23.00,Economy,Y
DCZXWW,10/18/12,10/22/12,10/25/12,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,3,31.00,Compact,N
DDBSOO,5/21/12,5/24/12,5/24/12,ET,ENTERPRISE CARS,Lake Charles,LA,Lake Charles,LA,1,30.00,Economy,Y
DDCIRC,2/13/13,2/19/13,2/22/13,ET,ENTERPRISE CARS,Kansas City-Intl,MO,Kansas City-Intl,MO,3,34.00,Economy,Y
DDDLRN,4/19/13,4/24/13,4/26/13,AD,ADVANTAGE,Pittsburgh,PA,Pittsburgh,PA,2,21.00,Standard,Y
DDEVMX,12/14/11,12/20/11,12/21/11,ZE,HERTZ RENT A CAR,San Diego,CA,San Diego,CA,1,41.00,Intermediate,Y
DDFQWQ,3/31/11,4/4/11,4/4/11,ET,ENTERPRISE CARS,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,28.00,Economy,Y
DDGRXN,3/23/11,3/28/11,4/1/11,ET,ENTERPRISE CARS,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,4,31.00,Standard,Y
DDJHQW,5/23/12,5/29/12,5/30/12,ET,ENTERPRISE CARS,Indianapolis,IN,Indianapolis,IN,1,41.00,Compact,Y
DDJPCY,5/11/11,5/17/11,5/19/11,ZL,NATIONAL CAR RENTAL,San Diego,CA,San Diego,CA,2,39.00,Intermediate,N
DDNMOE,4/9/12,4/12/12,4/12/12,ZT,THRIFTY RENT A CAR,Tulsa,OK,Tulsa,OK,1,33.00,Compact,Y
DDOIAC,5/4/13,5/5/13,5/10/13,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,5,28.00,Standard,N
DDQLUF,1/14/13,1/16/13,1/17/13,ZL,NATIONAL CAR RENTAL,Raleigh/Durham,NC,Raleigh/Durham,NC,1,68.00,Compact,N
DDQQVB,11/9/10,11/15/10,11/17/10,ZR,DOLLAR RENT A CAR,Louisville,KY,Louisville,KY,2,19.00,Intermediate,N
DDWKSR,6/29/11,7/1/11,7/5/11,ZR,DOLLAR RENT A CAR,Oakland,CA,Oakland,CA,4,32.00,Intermediate,N
DDXLRT,1/30/13,2/4/13,2/7/13,ZL,NATIONAL CAR RENTAL,Cincinnati,OH,Cincinnati,OH,3,58.00,Intermediate,Y
DDXREJ,2/21/13,2/25/13,2/26/13,ZE,HERTZ RENT A CAR,Laurel/Hattiesburg,MS,Laurel/Hattiesburg,MS,1,38.00,Economy,N
DDXSSD,11/24/10,11/30/10,12/2/10,ZL,NATIONAL CAR RENTAL,Miami,FL,Miami,FL,2,29.00,Intermediate,Y
DEAJUU,10/28/11,11/2/11,11/2/11,AL,ALAMO RENT A CAR,Burbank,CA,Burbank,CA,1,22.00,Economy,Y
DEAVIO,12/5/12,12/10/12,12/13/12,ET,ENTERPRISE CARS,Boise,ID,Boise,ID,3,32.00,Economy,Y
DEBYHB,11/23/10,11/29/10,11/30/10,ZI,AVIS RENT A CAR,Roanoke,VA,Roanoke,VA,1,35.00,Intermediate,N
DEDFUZ,5/23/13,5/29/13,5/30/13,ZR,DOLLAR RENT A CAR,Richmond,VA,Richmond,VA,1,23.00,Compact,Y
DEFTSN,10/25/12,10/30/12,11/1/12,ZR,DOLLAR RENT A CAR,El Paso,TX,El Paso,TX,2,26.00,Compact,Y
DEHIWX,12/10/10,12/15/10,12/16/10,ZI,AVIS RENT A CAR,Laredo,TX,Laredo,TX,1,40.00,Compact,Y
DEHKEJ,1/9/12,1/10/12,1/11/12,ET,ENTERPRISE CARS,Phoenix,AZ,Phoenix,AZ,1,9.00,Compact,Y
DEKZKA,9/15/11,9/20/11,9/22/11,ZR,DOLLAR RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,2,29.00,Compact,N
DEKZZX,4/25/12,4/27/12,5/3/12,ET,ENTERPRISE CARS,Sacramento,CA,Sacramento,CA,6,20.17,Compact,N
DELNRP,5/17/13,5/22/13,5/23/13,ZT,THRIFTY RENT A CAR,Little Rock,AR,Little Rock,AR,1,37.00,Compact,Y
DELXJL,7/18/12,7/20/12,7/20/12,ZI,AVIS RENT A CAR,Tri-City Airport,TN,Tri-City Airport,TN,1,20.99,Compact,Y
DENBYQ,2/17/11,2/23/11,2/24/11,AL,ALAMO RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,1,41.00,Intermediate,N
DEPOGZ,12/6/12,12/11/12,12/12/12,ZR,DOLLAR RENT A CAR,El Paso,TX,El Paso,TX,1,16.00,Compact,Y
DEQELS,12/27/10,12/29/10,12/30/10,AL,ALAMO RENT A CAR,Reno,NV,Reno,NV,1,45.00,Intermediate,N
DEQZZZ,7/12/12,7/17/12,7/20/12,AL,ALAMO RENT A CAR,Missoula,MT,Missoula,MT,3,91.04,Intermediate,N
DERMTJ,8/26/11,8/31/11,9/1/11,ZL,NATIONAL CAR RENTAL,Little Rock,AR,Little Rock,AR,1,58.00,Intermediate,N
DERYMH,7/20/11,7/25/11,7/26/11,AL,ALAMO RENT A CAR,West Palm Beach,FL,West Palm Beach,FL,1,29.00,Intermediate,N
DESTJZ,2/23/12,2/28/12,3/1/12,ZR,DOLLAR RENT A CAR,Spokane,WA,Spokane,WA,2,31.00,Compact,Y
DETUFC,10/19/11,10/21/11,10/21/11,AL,ALAMO RENT A CAR,San Antonio,TX,San Antonio,TX,1,15.00,Compact,Y
DEWLEH,4/20/11,4/25/11,4/29/11,AL,ALAMO RENT A CAR,Sacramento,CA,Sacramento,CA,4,30.00,Compact,N
DEWPNK,2/11/13,2/14/13,2/16/13,AD,ADVANTAGE,Los Angeles,CA,Los Angeles,CA,2,17.00,Economy,Y
DEYUFT,1/10/12,1/13/12,1/13/12,ZL,NATIONAL CAR RENTAL,Laredo,TX,Laredo,TX,1,38.00,Compact,Y
DFAZIE,10/14/11,10/17/11,10/21/11,ZR,DOLLAR RENT A CAR,Denver,CO,Denver,CO,4,21.00,Standard,Y
DFCZDU,9/19/11,9/22/11,9/22/11,FX,FOX RENT A CAR,Salt Lake City,UT,Salt Lake City,UT,1,27.76,Economy,Y
DFEQYN,3/21/12,3/26/12,3/29/12,ET,ENTERPRISE CARS,Denver,CO,Denver,CO,3,46.00,Compact,Y
DFHKJE,2/14/13,2/19/13,2/22/13,AD,ADVANTAGE,El Paso,TX,El Paso,TX,3,26.00,Intermediate,Y
DFIXFT,7/20/11,7/21/11,7/23/11,ZD,BUDGET RENT A CAR,San Francisco,CA,San Francisco,CA,2,41.00,Compact,Y
DFLGJW,1/5/11,1/10/11,1/13/11,ZD,BUDGET RENT A CAR,Atlanta,GA,Atlanta,GA,3,40.00,Compact,Y
DFPOJG,10/7/11,10/11/11,10/13/11,ZR,DOLLAR RENT A CAR,Atlanta,GA,Atlanta,GA,2,47.00,Intermediate,Y
DFQDFO,4/6/12,4/10/12,4/12/12,ZT,THRIFTY RENT A CAR,Detroit-Metro,MI,Detroit-Metro,MI,2,34.00,Economy,Y
DFQRJC,4/29/11,5/4/11,5/5/11,ZI,AVIS RENT A CAR,El Paso,TX,El Paso,TX,1,35.00,Compact,Y
DFSFBM,4/6/11,4/10/11,4/11/11,ZD,BUDGET RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,1,33.00,Compact,Y
DFSFBM,4/6/11,4/13/11,4/14/11,ZT,THRIFTY RENT A CAR,Atlanta,GA,Atlanta,GA,1,24.00,Compact,Y
DFSFBM,4/7/11,4/13/11,4/14/11,ZT,THRIFTY RENT A CAR,Atlanta,GA,Atlanta,GA,1,24.00,Compact,N
DFSFBM,4/10/11,4/13/11,4/14/11,ZT,THRIFTY RENT A CAR,Atlanta,GA,Atlanta,GA,1,24.00,Compact,N
DFUWOQ,1/6/11,1/11/11,1/11/11,ZT,THRIFTY RENT A CAR,San Diego,CA,San Diego,CA,1,12.00,Compact,Y
DFVFEI,1/13/11,1/19/11,1/20/11,AL,ALAMO RENT A CAR,Memphis,TN,Memphis,TN,1,40.00,Economy,N
DFVRJP,2/22/12,2/26/12,3/9/12,AL,ALAMO RENT A CAR,Jacksonville,FL,Jacksonville,FL,12,15.00,Compact,Y
DFWCIV,9/6/12,9/11/12,9/14/12,ZT,THRIFTY RENT A CAR,Pensacola,FL,Pensacola,FL,3,34.00,Compact,N
DFYOQU,1/19/12,1/24/12,1/27/12,ZL,NATIONAL CAR RENTAL,Orlando-Intl,FL,Orlando-Intl,FL,3,31.00,Economy,Y
DFZURN,7/15/11,8/1/11,8/2/11,AL,ALAMO RENT A CAR,Marquette,MI,Marquette,MI,1,34.00,Compact,N
DGAAAZ,4/6/11,4/11/11,4/14/11,ZI,AVIS RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,3,56.00,Intermediate,Y
DGAEEF,5/20/13,5/23/13,5/23/13,ET,ENTERPRISE CARS,Memphis,TN,Memphis,TN,1,26.00,Compact,Y
DGAWOQ,12/9/10,12/14/10,12/16/10,ZL,NATIONAL CAR RENTAL,Jackson/Vicksburg,MS,Jackson/Vicksburg,MS,2,36.00,Intermediate,N
DGDEYO,7/8/11,7/10/11,7/12/11,ZI,AVIS RENT A CAR,Roanoke,VA,Roanoke,VA,2,30.00,Economy,N
DGDEYO,7/11/11,7/10/11,7/12/11,ZI,AVIS RENT A CAR,Roanoke,VA,Roanoke,VA,2,30.00,Economy,N
DGHFAC,4/21/11,4/26/11,4/28/11,ZT,THRIFTY RENT A CAR,Phoenix,AZ,Phoenix,AZ,2,18.00,Compact,Y
DGIMOE,6/4/12,6/4/12,6/5/12,ZL,NATIONAL CAR RENTAL,Cincinnati,OH,Cincinnati,OH,1,62.00,Intermediate,N
DGIMOE,6/4/12,6/5/12,6/6/12,ZL,NATIONAL CAR RENTAL,Cleveland,OH,Cleveland,OH,1,53.00,Intermediate,N
DGIMOE,6/4/12,6/6/12,6/8/12,ZL,NATIONAL CAR RENTAL,Grand Forks,ND,Grand Forks,ND,2,40.00,Intermediate,N
DGKFFA,11/14/11,11/16/11,11/17/11,ET,ENTERPRISE CARS,Cleveland,OH,Cleveland,OH,1,33.00,Intermediate,N
DGLSHX,11/25/11,11/29/11,12/1/11,ZL,NATIONAL CAR RENTAL,Tucson,AZ,Tucson,AZ,2,52.54,Intermediate,N
DGMWQI,1/28/11,2/1/11,2/2/11,ET,ENTERPRISE CARS,Lexington,KY,Lexington,KY,1,27.00,Economy,N
DGPBQK,9/22/11,9/25/11,9/27/11,ZE,HERTZ RENT A CAR,Pittsburgh,PA,Pittsburgh,PA,2,68.00,Intermediate,N
DGRDLM,5/31/13,6/5/13,6/6/13,ET,ENTERPRISE CARS,San Antonio,TX,San Antonio,TX,1,52.75,Compact,Y
DGSLGM,11/23/10,11/28/10,12/3/10,ZT,THRIFTY RENT A CAR,Indianapolis,IN,Indianapolis,IN,5,24.00,Economy,Y
DGVGGN,3/28/12,4/1/12,4/3/12,ET,ENTERPRISE CARS,Tucson,AZ,Tucson,AZ,2,30.00,Intermediate,Y
DGYMGJ,9/25/12,9/27/12,9/27/12,ZR,DOLLAR RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,1,65.83,Economy,N
DGZXUX,7/12/12,7/17/12,7/18/12,ZT,THRIFTY RENT A CAR,Indianapolis,IN,Indianapolis,IN,1,59.00,Compact,Y
DHBJSB,6/20/12,6/25/12,6/27/12,ET,ENTERPRISE CARS,Reno,NV,Reno,NV,2,29.00,Economy,Y
DHCHSE,4/9/12,4/10/12,4/10/12,ZL,NATIONAL CAR RENTAL,Bakersfield,CA,Bakersfield,CA,1,36.00,Economy,N
DHCZPG,7/12/12,7/16/12,7/19/12,ET,ENTERPRISE CARS,Tucson,AZ,Tucson,AZ,3,32.00,Standard,N
DHFBBH,11/24/10,12/1/10,12/2/10,AL,ALAMO RENT A CAR,Dayton,OH,Dayton,OH,1,28.00,Compact,N
DHFUFP,1/21/11,1/27/11,1/28/11,ZL,NATIONAL CAR RENTAL,Tampa/St Petersburg,FL,Tampa/St Petersburg,FL,1,47.00,Intermediate,N
DHFWGF,11/4/11,11/8/11,11/10/11,ZL,NATIONAL CAR RENTAL,Norfolk,VA,Norfolk,VA,2,80.00,Minivan,N
DHINTS,5/3/11,5/7/11,5/13/11,FX,FOX RENT A CAR,San Diego,CA,San Diego,CA,6,13.60,Compact,Y
DHIYWE,3/25/11,3/30/11,3/31/11,AL,ALAMO RENT A CAR,Billings,MT,Billings,MT,1,39.00,Compact,Y
DHJHKB,5/16/12,5/21/12,5/23/12,AL,ALAMO RENT A CAR,Denver,CO,Denver,CO,2,28.00,Compact,Y
DHJLVI,9/5/13,9/9/13,9/12/13,ET,ENTERPRISE CARS,Cincinnati,OH,Cincinnati,OH,3,29.00,Economy,Y
DHMGDK,3/21/12,3/25/12,3/30/12,ET,ENTERPRISE CARS,Kansas City-Intl,MO,Kansas City-Intl,MO,5,20.00,Economy,Y
DHNNFU,7/19/11,7/20/11,7/22/11,ZR,DOLLAR RENT A CAR,El Paso,TX,El Paso,TX,2,53.00,Intermediate,N
DHNOXP,3/9/11,3/14/11,3/18/11,ZR,DOLLAR RENT A CAR,Washington D.C.-Dulles,DC,Washington D.C.-Dulles,DC,4,36.00,Compact,N
DHNYWO,9/11/12,9/13/12,9/14/12,ET,ENTERPRISE CARS,Cleveland,OH,Cleveland,OH,1,24.00,Compact,N
DHOWTA,8/1/11,8/3/11,8/3/11,ET,ENTERPRISE CARS,Shreveport,LA,Shreveport,LA,1,52.00,Intermediate,N
DHOWTA,8/3/11,8/3/11,8/3/11,ET,ENTERPRISE CARS,Shreveport,LA,Shreveport,LA,1,52.00,Intermediate,N
DHOXEB,8/25/11,8/24/11,8/26/11,AL,ALAMO RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,2,60.00,Standard,N
DHPAMU,4/28/11,5/3/11,5/5/11,ZD,BUDGET RENT A CAR,Albuquerque,NM,Albuquerque,NM,2,38.00,Intermediate,N
DHPKDV,8/15/11,8/18/11,8/19/11,ZE,HERTZ RENT A CAR,Charlotte,NC,Charlotte,NC,1,24.00,Intermediate,Y
DHQVTB,9/22/11,9/27/11,9/29/11,ZR,DOLLAR RENT A CAR,San Antonio,TX,San Antonio,TX,2,15.00,Compact,Y
DHQZAH,3/21/12,3/26/12,3/29/12,ZR,DOLLAR RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,3,43.00,Compact,Y
DHQZAH,3/22/12,3/26/12,3/29/12,ZR,DOLLAR RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,3,43.00,Compact,N
DHQZAH,3/22/12,3/27/12,3/29/12,ZT,THRIFTY RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,2,43.00,Compact,N
DHRYPX,9/21/11,9/26/11,9/28/11,ET,ENTERPRISE CARS,West Palm Beach,FL,West Palm Beach,FL,2,59.86,Compact,Y
DHWEXA,1/13/12,1/16/12,1/19/12,AL,ALAMO RENT A CAR,San Diego,CA,San Diego,CA,3,12.00,Intermediate,N
DHXRLP,4/13/11,4/19/11,4/19/11,ZL,NATIONAL CAR RENTAL,Philadelphia,PA,Philadelphia,PA,1,51.00,Compact,Y
DHYMCD,9/23/11,9/27/11,9/30/11,AL,ALAMO RENT A CAR,Providence,RI,Providence,RI,3,37.00,Intermediate,N
DHZABS,6/6/12,6/11/12,6/25/12,ZT,THRIFTY RENT A CAR,Seattle/TacomA,WA,Seattle/TacomA,WA,14,63.53,Economy,N
DIAZFO,9/22/11,9/27/11,9/27/11,ET,ENTERPRISE CARS,Indianapolis,IN,Indianapolis,IN,1,39.00,Compact,Y
DIAZFO,9/27/11,9/27/11,9/27/11,ET,ENTERPRISE CARS,Indianapolis,IN,Indianapolis,IN,1,39.00,Compact,Y
DICOZJ,4/20/11,4/25/11,4/26/11,ET,ENTERPRISE CARS,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,84.00,Intermediate,N
DIDJZJ,10/25/10,10/25/10,10/26/10,ZR,DOLLAR RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,1,60.00,Compact,N
DIDUWG,1/20/11,1/23/11,1/25/11,ET,ENTERPRISE CARS,Albuquerque,NM,Albuquerque,NM,2,21.00,Standard,N
DIGDIO,1/24/11,1/24/11,1/25/11,AL,ALAMO RENT A CAR,Marquette,MI,Marquette,MI,1,33.00,Economy,N
DIGLAE,3/8/12,4/23/12,4/29/12,ZL,NATIONAL CAR RENTAL,San Francisco,CA,San Francisco,CA,6,43.83,Intermediate,N
DIHILP,8/11/11,8/15/11,8/18/11,ZE,HERTZ RENT A CAR,Kansas City-Intl,MO,Kansas City-Intl,MO,3,54.00,Compact,N
DIKEZW,5/26/11,6/1/11,6/3/11,ZI,AVIS RENT A CAR,Roanoke,VA,Roanoke,VA,2,35.00,Intermediate,N
DIKHHK,2/16/11,2/22/11,2/25/11,ZR,DOLLAR RENT A CAR,San Diego,CA,San Diego,CA,3,12.00,Compact,Y
DIKUYG,4/21/11,4/26/11,4/29/11,ZR,DOLLAR RENT A CAR,Philadelphia,PA,Philadelphia,PA,3,48.00,Compact,Y
DIKYBO,3/24/11,3/29/11,4/1/11,AL,ALAMO RENT A CAR,Sacramento,CA,Sacramento,CA,3,33.00,Compact,N
DINMYE,11/26/10,12/1/10,12/3/10,ZL,NATIONAL CAR RENTAL,El Paso,TX,El Paso,TX,2,21.00,Compact,Y
DIPBZW,1/4/12,1/9/12,1/13/12,ET,ENTERPRISE CARS,Los Angeles,CA,Los Angeles,CA,4,31.00,Compact,N
DIRAEK,3/11/11,3/15/11,3/16/11,ZD,BUDGET RENT A CAR,Pensacola,FL,Pensacola,FL,1,26.00,Intermediate,N
DIRBBA,2/23/12,2/28/12,3/2/12,AL,ALAMO RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,3,23.00,Compact,N
DIRBBA,2/28/12,2/28/12,3/2/12,AL,ALAMO RENT A CAR,Baltimore/Washington Intl,MD,Baltimore/Washington Intl,MD,3,23.00,Compact,N
DIRXEA,8/7/13,8/8/13,8/8/13,ET,ENTERPRISE CARS,Salt Lake City,UT,Salt Lake City,UT,1,32.00,Compact,N
DIVCQL,8/22/12,8/26/12,8/31/12,ET,ENTERPRISE CARS,Des Moines,IA,Des Moines,IA,5,31.40,Economy,Y
DIVFIN,6/13/12,6/18/12,6/20/12,EZ,EZ RENT,Denver,CO,Denver,CO,2,48.00,Intermediate,N
DIVFLS,6/18/12,6/21/12,6/22/12,ZR,DOLLAR RENT A CAR,Reno,NV,Reno,NV,1,94.12,Compact,Y
DIVUJI,6/22/11,6/27/11,6/28/11,ZI,AVIS RENT A CAR,Burlington,VT,Burlington,VT,1,55.00,Intermediate,N
DIVUJI,6/28/11,6/27/11,6/28/11,ZI,AVIS RENT A CAR,Burlington,VT,Burlington,VT,1,55.00,Intermediate,N
DIWUHA,1/20/11,1/24/11,1/25/11,ZD,BUDGET RENT A CAR,Minneapolis/St Paul,MN,Minneapolis/St Paul,MN,1,48.00,Standard,N
