GDS Record Locator,Reservation Date,Ticket Issue Date,Trip Departure Date,Ticket Number,Airline Name,Cabin Class,Domestic / International Indicator,Origin Airport Code,Destination Airport Code,Routing,Invoice Amount,Tax Amount,Total Amount,Mileage,Exchange Indicator,Exchange Original Ticket Number,Refund  Indicator,Original Invoice Number,Online Indicator,Fare Category
24BJG8,9/30/10,10/4/10,10/7/10,8616079822,AMERICAN,Coach,D,DFW,IAH,DFW/IAH/DFW,326.51,44.39,370.9,449.3638627,N,,N,,Y,YCA City Pair Fare (Contract)
24C873,9/30/10,10/13/10,10/17/10,8616920010,DELTA AIR LINES,Coach,D,ATL,LEX,ATL/LEX/ATL,569.3,64.1,633.4,608.8355121,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24CXCJ,9/30/10,10/7/10,10/12/10,8616492768,FRONTIER AIRLINES,Coach,D,DCA,DEN,DCA/DEN/DCA,398.14,51.26,449.4,2970.414318,N,,N,,Y,YCA City Pair Fare (Contract)
24D6VL,9/30/10,10/13/10,10/18/10,8616919916,AMERICAN,Coach,D,DFW,BWI,DFW/BWI/DFW,355.34,48.06,403.4,2430.974789,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24DML8,9/30/10,10/4/10,10/6/10,,SOUTHWEST AIR,Coach,D,PHL,PIT,PHL/PIT/PHL,259.4,,259.4,536.1532997,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24EDVL,9/30/10,10/4/10,10/7/10,8616079772,UNITED AIRLINES,Coach,D,SEA,PDX,SEA/PDX/SEA,119.06,30.34,149.4,258.7474395,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24EHD7,9/30/10,10/14/10,10/19/10,8617047226,FRONTIER AIRLINES,Coach,D,MCI,SFO,MCI/SFO,185.12,24.58,209.7,1496.058963,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
24EHD7,9/30/10,10/14/10,10/22/10,8617047227,US AIRWAYS,Coach,D,SFO,MCI,SFO/MCI,254.88,29.82,284.7,1496.059297,N,,N,,N,Economy Discounted Government (Non-Contract)
24EHVX,9/30/10,10/20/10,10/23/10,8617457618,UNITED AIRLINES,Coach,D,HNL,IAD,HNL/LAX/IAD/LAX/HNL,582.44,80.58,663.02,9680.934178,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24FHCZ,,10/11/10,10/12/10,8616445766,ALASKA,Coach,D,SEA,LAS,SEA/LAS/SEA,-258.61,-40.79,-299.4,-1735.606068,N,,Y,,Y,YCA City Pair Fare (Contract)
24FHCZ,9/30/10,10/7/10,10/12/10,8616445766,ALASKA,Coach,D,SEA,LAS,SEA/LAS/SEA,258.61,40.79,299.4,1735.606068,N,,N,,Y,YCA City Pair Fare (Contract)
24GEN6,9/30/10,10/20/10,10/24/10,,SOUTHWEST AIR,Coach,D,STL,LAS,STL/LAS/STL,863.4,,863.4,2739.910416,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24I7XZ,9/30/10,10/4/10,10/5/10,8616206795,DELTA AIR LINES,Coach,D,MDW,DTW,MDW/DTW/MDW,400,51.4,451.4,458.2797268,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
24J2WO,9/30/10,10/20/10,10/24/10,,AIRTRAN AIRLINES,Coach,D,PHL,MCO,PHL/MCO/PHL,315.4,,315.4,1728.596218,N,,N,,Y,Economy Restricted Fare (Non-Contract)
24JPAU,9/30/10,10/1/10,10/3/10,8616024834,DELTA AIR LINES,Coach,D,ATL,DCA,ATL/DCA,140.47,21.23,161.7,547.8831438,N,,N,,N,Economy Discounted Government (Non-Contract)
24JR8S,9/30/10,10/1/10,10/3/10,8616024926,DELTA AIR LINES,Coach,D,ATL,DCA,ATL/DCA,140.47,21.23,161.7,547.8831438,N,,N,,N,Economy Discounted Government (Non-Contract)
24L84F,9/30/10,10/6/10,10/11/10,8616337804,UNITED AIRLINES,Coach,D,IAD,DEN,IAD/DEN/IAD,1023.26,98.14,1121.4,2923.989026,N,,N,,Y,YCA City Pair Fare (Contract)
24LW5Z,9/30/10,10/1/10,10/3/10,8615970797,DELTA AIR LINES,Coach,D,ATL,DCA,ATL/DCA/ATL,280.94,42.46,323.4,1095.766184,N,,N,,N,Economy Discounted Government (Non-Contract)
24M3U9,9/30/10,10/1/10,10/7/10,,VIRGIN AMERICA,Coach,D,SFO,LAX,SFO/LAX/SFO,139.4,,139.4,675.7402632,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24MBMF,9/30/10,10/15/10,10/20/10,8617095891,AMERICAN,Coach,D,DFW,TUL,DFW/TUL/DFW,271.62,40.28,311.9,475.0575752,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24MUDR,9/30/10,9/30/10,10/1/10,8615970572,AMERICAN,Coach,D,DFW,TUL,DFW/TUL/DFW,407.44,50.46,457.9,475.0575752,N,,N,,N,YCA City Pair Fare (Contract)
24NLDI,9/30/10,10/6/10,10/7/10,,SOUTHWEST AIR,Coach,D,OAK,SAN,OAK/SAN/OAK,347.4,,347.4,893.8369019,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24NMX8,9/30/10,10/13/10,10/18/10,,SOUTHWEST AIR,Coach,D,BOS,BWI,BOS/BWI/BOS,159.4,,159.4,739.2739037,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24NNQQ,9/30/10,10/7/10,10/13/10,,SOUTHWEST AIR,Coach,D,SMF,BUR,SMF/BUR/SMF,317.4,,317.4,718.740403,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24OZ7H,9/30/10,10/20/10,10/25/10,8617457528,AMERICAN,Coach,D,DFW,LAS,DFW/LAS/DFW,271.62,41.78,313.4,2109.49372,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
24QVB8,9/30/10,10/1/10,10/4/10,8616024694,UNITED AIRLINES,Coach,D,IAD,DEN,IAD/DEN/IAD,842.8,84.6,927.4,2923.989026,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
24QVB8,9/30/10,10/7/10,10/8/10,8616529662,UNITED AIRLINES,Coach,D,DEN,IAD,DEN/IAD,,,,1461.994659,Y,8616024694,N,8616024694,N,_CA Deep Discount City Pair Fare (Contract)
24RES6,9/30/10,10/13/10,10/18/10,,SOUTHWEST AIR,Coach,D,LAX,ABQ,LAX/ABQ/LAX,421.6,,421.6,1353.371936,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
24RVGX,9/30/10,10/21/10,10/25/10,8617609310,UNITED AIRLINES,Coach,D,SFO,HNL,SFO/HNL/SFO,763.7,37.91,801.61,4797.816844,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
24RVGX,9/30/10,10/21/10,10/26/10,8617609314,CONTINENTAL,Coach,I,HNL,SPN,HNL/GUM/SPN/GUM/HNL,1906,395.2,2301.2,7859.763963,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
24VL9D,10/1/10,10/5/10,10/8/10,,SOUTHWEST AIR,Coach,D,OAK,LAX,OAK/LAX/OAK,311.4,,311.4,675.1808264,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
2525JQ,,10/19/10,10/12/10,8616445777,AMERICAN,Coach,D,DFW,MCI,DFW/MCI/DFW,-599.06,-66.34,-665.4,-921.6933014,N,,Y,,Y,_CA Deep Discount City Pair Fare (Contract)
2525JQ,10/1/10,10/7/10,10/12/10,8616445777,AMERICAN,Coach,D,DFW,MCI,DFW/MCI/DFW,599.06,66.34,665.4,921.6933014,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
252JBX,10/1/10,10/6/10,10/11/10,,AIRTRAN AIRLINES,Coach,D,MCO,ATL,MCO/ATL/MCO,257.4,,257.4,808.8590748,N,,N,,Y,Economy Restricted Fare (Non-Contract)
252U2S,10/1/10,10/13/10,10/18/10,8616919943,US AIRWAYS,Coach,D,DCA,MCO,DCA/MCO/DCA,297.68,43.72,341.4,1525.07174,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
253F63,10/1/10,10/5/10,10/6/10,,SOUTHWEST AIR,Coach,D,DAL,HOU,DAL/HOU/DAL,291.9,,291.9,480.4806028,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
254CHH,10/1/10,10/6/10,10/11/10,8616392111,FRONTIER AIRLINES,Coach,D,MCI,DCA,MCI/DCA/MCI,247.44,43.66,291.1,1897.501878,N,,N,,N,YCA City Pair Fare (Contract)
254ID3,10/1/10,10/21/10,10/29/10,8617620499,AMERICAN,Coach,D,DCA,SFO,DCA/DFW/SFO,148.84,32.56,181.4,2654.474568,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
254JIX,10/1/10,10/20/10,10/25/10,8617467350,UNITED AIRLINES,Coach,D,DEN,MEM,DEN/MEM/DEN,286.52,38.38,324.9,1759.719611,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
255MOX,10/1/10,10/14/10,10/19/10,8617047402,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,305.12,44.28,349.4,4830.898039,N,,N,,N,YCA City Pair Fare (Contract)
255MOX,10/1/10,10/18/10,10/19/10,8617296940,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,,,,4830.898039,Y,8617047402,N,8617047402,N,YCA City Pair Fare (Contract)
255XHX,10/1/10,10/4/10,10/7/10,,SOUTHWEST AIR,Coach,D,DAL,SEA,DAL/SEA/DAL,814.8,,814.8,3339.413965,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
255ZMJ,10/1/10,10/4/10,10/5/10,8616079736,DELTA AIR LINES,Coach,D,CAE,MIA,CAE/ATL/MIA/ATL/CAE,816.74,104.06,920.8,1576.810964,N,,N,,Y,YCA City Pair Fare (Contract)
2573R5,10/1/10,10/7/10,10/12/10,8616445738,UNITED AIRLINES,Coach,D,ORD,DCA,ORD/DCA,88.37,17.33,105.7,610.9046789,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
2573R5,10/1/10,10/7/10,10/17/10,8616445741,ALASKA,Coach,D,ORD,SEA,ORD/SEA,203.72,25.98,229.7,1717.825021,N,,N,,Y,YCA City Pair Fare (Contract)
257EC8,10/1/10,10/4/10,10/6/10,8616206703,UNITED AIRLINES,Coach,D,SFO,IAD,SFO/IAD/SFO,305.12,44.28,349.4,4830.898039,N,,N,,N,YCA City Pair Fare (Contract)
257UG7,10/1/10,10/1/10,10/5/10,8616024794,DELTA AIR LINES,Coach,D,ATL,DCA,ATL/DCA/ATL,280.94,42.46,323.4,1095.766184,N,,N,,Y,Economy Discounted Government (Non-Contract)
259XE7,10/1/10,10/6/10,10/11/10,,AIRTRAN AIRLINES,Coach,D,FLL,ATL,FLL/ATL/FLL,259.4,,259.4,1164.534197,N,,N,,Y,Economy Restricted Fare (Non-Contract)
25EOME,10/1/10,10/5/10,10/8/10,,SOUTHWEST AIR,Coach,D,PHL,PIT,PHL/PIT/PHL,259.4,,259.4,536.1532997,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
25HHWU,,10/21/10,10/18/10,8616933408,DELTA AIR LINES,Coach,D,ATL,JAN,ATL/JAN/ATL,-835.34,-84.06,-919.4,-680.7851693,N,,Y,,N,_CA Deep Discount City Pair Fare (Contract)
25HHWU,10/1/10,10/13/10,10/18/10,8616933408,DELTA AIR LINES,Coach,D,ATL,JAN,ATL/JAN/ATL,835.34,84.06,919.4,680.7851693,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
25IJDL,10/1/10,10/29/10,11/1/10,8618178617,AMERICAN,Coach,D,IAD,DFW,IAD/DFW/IAD,483.72,57.68,541.4,2340.950523,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
25IYHB,,10/11/10,10/12/10,,AIRTRAN AIRLINES,Coach,D,ATL,MIA,ATL/MIA_FLL/ATL,-129.7,0,-129.7,-1179.232993,N,,Y,,Y,Economy Restricted Fare (Non-Contract)
25IYHB,,10/11/10,10/12/10,8616445897,AMERICAN,Coach,D,ATL,MIA,ATL/MIA,-88.37,-17.33,-105.7,-596.9660137,N,,Y,,Y,_CA Deep Discount City Pair Fare (Contract)
25IYHB,10/1/10,10/7/10,10/12/10,8616445897,AMERICAN,Coach,D,ATL,MIA,ATL/MIA,88.37,17.33,105.7,596.9660137,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
25IYHB,10/1/10,10/7/10,10/12/10,,AIRTRAN AIRLINES,Coach,D,ATL,MIA,ATL/MIA_FLL/ATL,129.7,,129.7,1179.232993,N,,N,,Y,Economy Restricted Fare (Non-Contract)
25MYXO,10/1/10,10/4/10,10/6/10,,SOUTHWEST AIR,Coach,D,MDW,CMH,MDW/CMH/MDW,297.4,,297.4,569.2650393,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
25OGD4,10/1/10,10/3/10,10/4/10,,SOUTHWEST AIR,Coach,D,DAL,HRL,DAL/HRL/DAL,462.8,,462.8,920.8991543,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
25OIPZ,,10/25/10,10/26/10,,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,-199.4,0,-199.4,-761.3834087,N,,Y,,Y,Economy Unrestricted Fare (Non-Contract)
25OIPZ,10/1/10,10/21/10,10/26/10,,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,199.4,,199.4,761.3834087,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
25Q95P,10/1/10,10/1/10,10/4/10,8616024691,ALASKA,Coach,D,SEA,DEN,SEA/DEN/SEA,567.44,63.96,631.4,2036.990311,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
25QIJF,10/1/10,10/5/10,10/7/10,8616256333,US AIRWAYS,Coach,D,DCA,BOS,DCA/BOS/DCA,212.1,37.3,249.4,796.7495528,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
25QX7I,10/1/10,10/6/10,10/11/10,,AIRTRAN AIRLINES,Coach,D,JAX,ATL,JAX/ATL/JAX,217.4,,217.4,540.9299457,N,,N,,Y,Economy Restricted Fare (Non-Contract)
25SVSI,10/1/10,10/2/10,10/4/10,,AIRTRAN AIRLINES,Coach,D,ATL,MEM,ATL/MEM/ATL,174.9,,174.9,663.2568775,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
25SXVS,10/1/10,10/1/10,10/4/10,,AIRTRAN AIRLINES,Coach,D,ATL,MEM,ATL/MEM/ATL,586.9,,586.9,663.2568775,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
25UW8J,10/1/10,10/13/10,10/17/10,8616933477,AMERICAN,Coach,D,DCA,ABQ,DCA/DFW/ABQ/DFW/DCA,346.04,67.26,413.3,3519.695784,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
25VAXB,10/1/10,10/13/10,10/21/10,8616933396,UNITED AIRLINES,Coach,D,ABQ,SEA,ABQ/DEN/SEA,377.67,48.23,425.9,1358.640928,N,,N,,N,Economy Discounted Government (Non-Contract)
25VAXB,10/1/10,10/13/10,10/18/10,8616933394,DELTA AIR LINES,Coach,D,SEA,ABQ,SEA/SLC/ABQ,377.67,49.73,427.4,1182.096838,N,,N,,N,Economy Discounted Government (Non-Contract)
25WLNQ,10/1/10,10/1/10,10/26/10,8616024924,UNITED AIRLINES,Coach,D,ORD,MSP,ORD/MSP/ORD,481.86,57.54,539.4,668.8111741,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
25YBGI,10/1/10,11/1/10,11/8/10,,SOUTHWEST AIR,Coach,D,BWI,LAS,BWI/LAS/BWI,3.7,,3.7,4206.216234,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
25YBGI,10/1/10,10/22/10,11/8/10,,SOUTHWEST AIR,Coach,D,BWI,LAS,BWI/LAS/BWI,719.4,,719.4,4206.216234,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
25YDUH,10/1/10,10/1/10,10/6/10,8616024760,UNITED AIRLINES,Coach,D,SYR,IAD,SYR/IAD/SYR,703.26,74.14,777.4,593.2065304,N,,N,,N,YCA City Pair Fare (Contract)
25ZCOE,10/1/10,10/13/10,10/17/10,8616933475,US AIRWAYS,Coach,D,DCA,BOS,DCA/BOS/DCA,212.1,37.3,249.4,796.7495528,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
25ZDIX,10/1/10,10/1/10,10/4/10,8616024847,ALASKA,Coach,D,SEA,DCA,SEA/DCA/SEA,444.66,54.74,499.4,4649.514123,N,,N,,N,YCA City Pair Fare (Contract)
262IWB,9/28/10,10/7/10,10/12/10,8616445803,UNITED AIRLINES,Coach,D,IAD,LAX,IAD/LAX/IAD,306.05,44.35,350.4,4570.543224,N,,N,,Y,YCA City Pair Fare (Contract)
263MAF,9/28/10,10/13/10,10/17/10,8616919938,AMERICAN,Coach,D,DFW,ABQ,DFW/ABQ/DFW,388.84,49.06,437.9,1137.517699,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
263N3E,9/28/10,10/20/10,10/24/10,,SOUTHWEST AIR,Coach,D,SAN,PHX,SAN/PHX/SAN,295.4,,295.4,608.1007225,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
264UCG,9/28/10,10/20/10,11/2/10,8617494664,UNITED AIRLINES,Coach,D,SAN,IAD,SAN/IAD/SAN,1153.48,107.92,1261.4,4501.042195,N,,N,,Y,YCA City Pair Fare (Contract)
2663N8,9/28/10,10/20/10,10/24/10,8617457498,DELTA AIR LINES,Coach,D,SAN,ORF,SAN/ATL/ORF,231.63,38.77,270.4,2404.736483,N,,N,,Y,YCA City Pair Fare (Contract)
2663N8,9/28/10,10/20/10,10/29/10,8617457500,UNITED AIRLINES,Coach,D,IAD,SAN,IAD/SAN,473.49,46.21,519.7,2250.520954,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
2666BO,9/28/10,9/29/10,10/4/10,,SOUTHWEST,Coach,D,BOI,GEG,BOI/GEG/BOI,239.4,,239.4,575.0129505,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
2666BO,9/28/10,9/30/10,10/4/10,,SOUTHWEST,Coach,D,BOI,GEG,BOI/GEG/BOI,,,,575.0129505,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
266UFN,9/28/10,10/7/10,10/12/10,8616492656,DELTA AIR LINES,Coach,D,MDW,DTW,MDW/DTW/MDW,500.47,58.93,559.4,458.2797268,N,,N,,Y,YCA City Pair Fare (Contract)
267OU6,9/28/10,10/28/10,10/29/10,8618080682,UNITED AIRLINES,Coach,D,LAS,IAD,LAS/IAD,0,-10.7,-10.7,-2062.89845,N,8617840849,Y,8617840849,N,YCA City Pair Fare (Contract)
267OU6,9/28/10,10/26/10,10/27/10,8617840849,UNITED AIRLINES,Coach,D,IAD,LAS,IAD/LAS/DEN/IAD,82.79,16.91,99.7,4140.130297,Y,8617702587,N,8617702587,N,YCA City Pair Fare (Contract)
267OU6,9/28/10,10/23/10,10/27/10,8617702587,UNITED AIRLINES,Coach,D,IAD,LAS,IAD/LAS/IAD,671.62,71.78,743.4,4125.796605,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
268XCF,9/28/10,9/29/10,10/4/10,8615792135,DELTA AIR LINES,Coach,D,EWR,ATL,EWR/ATL/EWR,574.88,64.52,639.4,1491.605445,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
2698IE,9/28/10,10/7/10,10/12/10,8616445889,DELTA AIR LINES,Coach,D,DCA,DTW,DCA/DTW/DCA,409.3,52.1,461.4,810.4272499,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
26AJJ3,9/28/10,10/6/10,10/11/10,,AIRTRAN AIRLINES,Coach,D,ATL,DCA,ATL/DCA/ATL,287.4,,287.4,1095.766184,N,,N,,Y,Economy Restricted Fare (Non-Contract)
26APF2,9/28/10,10/21/10,10/26/10,8617620449,DELTA AIR LINES,Coach,D,ATL,BWI,ATL/BWI/ATL,277.2,42.2,319.4,1153.272305,N,,N,,Y,Economy Discounted Government (Non-Contract)
26AUR8,9/28/10,10/8/10,10/14/10,8616579808,UNITED AIRLINES,Coach,D,ORD,DCA,ORD/DCA/ORD,210.23,37.17,247.4,1221.809058,N,,N,,N,YCA City Pair Fare (Contract)
26B5RU,9/28/10,10/7/10,10/12/10,8616445727,FRONTIER AIRLINES,Coach,D,DEN,DCA,DEN/DCA/DEN,398.14,51.26,449.4,2970.414318,N,,N,,Y,YCA City Pair Fare (Contract)
26C3ZD,9/28/10,9/28/10,10/1/10,8615669094,AMERICAN,Coach,D,SAN,DCA,SAN/DFW/DCA,222.33,38.07,260.4,2361.124948,N,,N,,N,YCA City Pair Fare (Contract)
26C5I3,9/28/10,9/29/10,10/4/10,,SOUTHWEST,Coach,D,SAN,SFO,SAN/SFO/SAN,347.4,,347.4,894.5282589,N,,N,,N,Economy Unrestricted Fare (Non-Contract)
26CJ6N,9/28/10,10/7/10,10/12/10,8616445702,DELTA AIR LINES,Coach,D,MSP,DTW,MSP/DTW/MSP,392.56,50.84,443.4,1055.134527,N,,N,,Y,Economy Discounted Government (Non-Contract)
26CWY2,9/28/10,10/13/10,10/16/10,8616919924,UNITED AIRLINES,Coach,D,BWI,SFO,BWI/SFO/BWI,716.28,75.12,791.4,4906.653741,N,,N,,Y,YCA City Pair Fare (Contract)
26CWY2,9/28/10,10/15/10,10/17/10,8617122508,UNITED AIRLINES,Coach,D,BWI,SFO,BWI/SFO/BWI,,,,4906.653741,Y,8616919924,N,8616919924,N,YCA City Pair Fare (Contract)
26D4H9,9/28/10,10/13/10,10/17/10,8616933360,AMERICAN,Coach,D,PHL,ABQ,PHL/DFW/ABQ/DFW/PHL,312.56,64.74,377.3,3740.053725,N,,N,,Y,YCA City Pair Fare (Contract)
26DJDD,9/28/10,10/14/10,10/17/10,8617016027,AMERICAN,Coach,D,PHL,ABQ,PHL/DFW/ABQ/DFW/PHL,312.56,64.74,377.3,3740.053725,N,,N,,N,YCA City Pair Fare (Contract)
26EBG4,9/28/10,10/1/10,10/4/10,8616079554,DELTA AIR LINES,Coach,D,DCA,DTW,DCA/DTW/DCA,409.3,52.1,461.4,810.4272499,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
26EOAP,9/28/10,9/30/10,10/3/10,8615912718,US AIRWAYS,Coach,D,LAS,DCA,LAS/DCA/CLT/LAS,881.72,96.73,978.45,4329.681128,N,,N,,N,YCA City Pair Fare (Contract)
26EOAP,9/28/10,9/30/10,10/4/10,8615847923,US AIRWAYS,Coach,D,LAS,DCA,LAS/DCA/CLT/LAS,881.72,96.73,978.45,4329.681128,N,,N,,N,YCA City Pair Fare (Contract)
26EZQ7,9/28/10,10/21/10,10/31/10,8617609285,FRONTIER AIRLINES,Coach,D,MCI,DCA,MCI/DCA/MCI,318.14,48.96,367.1,1897.501878,N,,N,,Y,YCA City Pair Fare (Contract)
26F4E7,9/28/10,10/7/10,10/7/10,8616445867,US AIRWAYS,Coach,D,DCA,MCI,DCA/MCI,159.07,22.63,181.7,948.7507998,N,,N,,Y,Economy Discounted Government (Non-Contract)
26F4E7,9/28/10,10/1/10,10/6/10,8616024660,FRONTIER AIRLINES,Coach,D,MCI,DCA,MCI/DCA/MCI,247.44,39.96,287.4,1897.501878,N,,N,,Y,YCA City Pair Fare (Contract)
26GHCZ,9/28/10,10/21/10,10/26/10,8617570511,AMERICAN,Coach,D,DFW,BWI,DFW/BWI/DFW,355.34,48.06,403.4,2430.974789,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
26GMIE,9/28/10,10/22/10,10/26/10,,SOUTHWEST AIR,Coach,D,PHL,PIT,PHL/PIT/PHL,259.4,,259.4,536.1532997,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
26H2QG,9/28/10,9/29/10,10/3/10,,AIRTRAN AIRWAYS,Coach,D,ATL,DCA,ATL/DCA/ATL,287.4,,287.4,1095.766184,N,,N,,Y,Economy Restricted Fare (Non-Contract)
26H3NS,9/28/10,9/29/10,10/4/10,8615669270,FRONTIER AIRLINES,Coach,D,MCI,DCA,MCI/DCA/MCI,318.14,45.26,363.4,1897.501878,N,,N,,Y,YCA City Pair Fare (Contract)
26H49W,9/28/10,10/11/10,10/13/10,8616633536,AMERICAN,Coach,D,DFW,DCA,DFW/DCA/DFW,440.94,54.46,495.4,2382.178084,N,,N,,N,Economy Discounted Government (Non-Contract)
26H78Z,9/28/10,11/12/10,11/16/10,,SOUTHWEST AIR,Coach,D,MCI,MDW,MCI/MDW/MCI,369.4,,369.4,809.0641762,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
26HJ6V,9/28/10,9/29/10,10/4/10,8615792118,ALASKA,Coach,D,PHX,SEA,PHX/SEA/PHX,342.32,47.08,389.4,2214.844555,N,,N,,Y,YCA City Pair Fare (Contract)
26IDJQ,9/28/10,10/7/10,10/9/10,,AIRTRAN AIRLINES,Coach,D,DEN,ATL,DEN/ATL,148.7,,148.7,1207.309727,N,,N,,Y,Economy Restricted Fare (Non-Contract)
26IDJQ,9/28/10,9/29/10,10/4/10,8615792081,FRONTIER AIRLINES,Coach,D,DCA,DEN,DCA/DEN/DCA,351.63,47.77,399.4,2970.414318,N,,N,,Y,YCA City Pair Fare (Contract)
26IZFD,9/28/10,10/14/10,10/18/10,,SOUTHWEST AIR,Coach,D,DEN,ABQ,DEN/ABQ/DEN,217.9,,217.9,680.2919744,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
26JBPG,9/28/10,9/29/10,10/4/10,8615792243,UNITED AIRLINES,Coach,D,SFO,SNA,SFO/SNA,91.16,17.54,108.7,372.0329058,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
26JBPG,9/28/10,9/29/10,10/4/10,,SOUTHWEST,Coach,D,SFO,SNA,SFO/SNA/SJC,155.7,,155.7,714.1973677,N,,N,,Y,Economy Restricted Fare (Non-Contract)
26JFE5,9/28/10,9/29/10,10/8/10,8615669266,FRONTIER AIRLINES,Coach,D,DCA,MCI,DCA/MCI,159.07,22.63,181.7,948.7507998,N,,N,,Y,YCA City Pair Fare (Contract)
26JFE5,9/28/10,9/29/10,10/3/10,8615669264,US AIRWAYS,Coach,D,MCI,DCA,MCI/CLT/DCA,767.44,77.46,844.9,1138.150292,N,,N,,Y,Economy Unrestricted Fare (Non-Contract)
26L655,9/28/10,10/7/10,10/12/10,8616445812,AMERICAN,Coach,D,ORD,DTW,ORD/DTW/ORD,149.77,32.63,182.4,469.0381448,N,,N,,Y,YCA City Pair Fare (Contract)
26L7JL,9/28/10,11/24/10,11/30/10,8620044472,UNITED AIRLINES,Coach,D,DEN,MCO,DEN/MCO/DEN,269.76,41.64,311.4,3106.32119,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
26LI67,9/28/10,10/1/10,10/3/10,8615970824,UNITED AIRLINES,Coach,D,DCA,ORD,DCA/ORD/DCA,210.23,37.17,247.4,1221.809058,N,,N,,Y,YCA City Pair Fare (Contract)
26LPRO,9/28/10,10/6/10,10/9/10,,AIRTRAN AIRLINES,Coach,D,ATL,DCA,ATL/DCA/ATL,287.4,,287.4,1095.766184,N,,N,,Y,Economy Restricted Fare (Non-Contract)
26LPZU,9/28/10,10/21/10,10/26/10,8617546630,AMERICAN,Coach,D,MCI,BWI,MCI/ORD/BWI,106.05,29.35,135.4,1023.899449,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
26MYFH,9/28/10,9/29/10,10/4/10,8615792062,US AIRWAYS,Coach,D,HSV,DCA,HSV/DCA/HSV,427.78,53.48,481.26,1226.397259,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
26MZUM,,10/24/10,10/7/10,8616079743,AMERICAN,Coach,D,DFW,MFE,DFW/MFE/DFW,-407.44,-50.46,-457.9,-940.5810234,N,,Y,,Y,_CA Deep Discount City Pair Fare (Contract)
